Feature,Mean_Absolute_SHAP
Protein_Length,161.50533847710386
Mean_Neighbor_pLDDT,5.087209965333988
Delta_Molecular_Weight,2.0198268232050296
Structure_pLDDT,1.1787502536068948
Local_Mean_pLDDT,0.712658374539616
Neighbor_Count_8A,0.08056748451012467
Delta_Polarity,0.07560514744061475
Relative_Position,0.07278031320450029
Mean_Neighbor_Distance_8A,0.011610489410365006
Global_AA_Q,0.007049230929785116
Global_AA_C,0.006703157738009676
Local_AA_S,0.006285153809167791
Global_AA_T,0.0061459838155658916
Global_AA_V,0.0055595062078368455
Global_AA_M,0.005457901609761111
Global_AA_H,0.005270564084507171
Global_AA_Y,0.005230243710418715
Global_AA_S,0.00522531578212624
Global_AA_K,0.0049107944654883
Global_AA_I,0.004809884759079977
Global_AA_G,0.004579378031373962
Global_AA_F,0.0043972323321664645
Global_AA_P,0.0043967350785212925
Global_AA_L,0.004359438230131818
Global_AA_A,0.004189630678667515
Global_AA_E,0.004053878906415891
Global_AA_R,0.0035789722200017682
Global_AA_N,0.0035376076507899114
Global_AA_W,0.003084348006797504
Global_AA_D,0.0025983634995203567
